,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7615,3287,3808,2665,660,1142,7615.0,3743,2430,901,884,573,215,3,1,1,833,562,198,9,3,5,2014,1291,482,3828,528.1455846788567,,841.6589015957762,1056.0094823582363,1102.2506540041759,1134.4790023073906,363.2741632108816,526.7343162510211,526.8079188537341,395.242729826703,154,1,34.0,32,1,[],[],[],1
1,10902,6758,4144,3379,2365,761,1014,6758.0,4354,2493,593,1010,540,130,956,553,136,461,274,73,6,4,1,1921,1122,253,3462,571.2192490628321,,845.2114189113895,1032.598779763698,1086.0161907779202,1102.8145392549704,456.05989676505743,455.8791893382246,455.1871932449009,431.8182520333664,137,33,34.0,17,1,[],[],[],1
2,10902,7268,3634,3634,2544,675,1090,7268.0,4391,3263,720,981,687,173,269,172,43,643,548,89,22,7,0,2476,1849,415,2528,494.0949402661423,,793.8624574348717,999.8807321103842,1047.2812258672889,1074.9785829638226,411.199964389998,411.0441858771634,411.0932447890246,409.96075859297525,146,10,37.0,26,1,[],[],[],1
3,10902,6944,3958,3472,2430,784,1042,6944.0,3087,2222,755,830,616,216,539,410,139,632,420,141,7,7,1,1079,769,258,4838,599.6002627565931,,880.6355658462694,1081.1482371454513,1150.0327963154032,1190.3262305780643,608.7808263978188,608.4059775685222,608.4217746166858,427.53193085295305,140,22,34.0,24,1,[],[],[],1
4,10902,8395,2507,4198,2938,1035,1259,8395.0,4149,3173,314,266,194,10,575,469,46,515,389,34,3,6,0,2790,2115,224,3266,487.0353335309581,,824.3592195959725,1054.594660775401,1124.4732437394812,1142.526235472898,349.0844290566823,348.71578459754363,348.405860347852,297.73244765233846,169,22,10.0,19,1,[],[],[],1
5,10902,7553,3349,3776,2644,535,1133,7553.0,5132,3143,932,559,342,107,635,412,118,646,394,109,16,11,0,3276,1984,598,1695,439.04159202586874,,748.2697181000251,956.205059548,993.5313676178175,1039.780094432587,435.97616924282767,435.9822367907647,436.35326955109,434.26709652742363,152,24,21.0,23,1,[],[],[],1
6,10902,7070,3832,3535,2474,610,1060,7070.0,4238,2558,929,547,352,123,856,504,196,672,415,158,5,3,1,2158,1284,451,3177,511.21873576195037,,795.3844227613365,992.9382242102781,1036.9954023887158,1067.1307256839088,510.95070147395467,511.16391566976716,510.93792970610053,511.22379913809044,143,32,21.0,25,1,[],[],[],1
7,10902,6973,3929,3486,2441,393,1046,6973.0,5285,3636,1058,830,572,152,565,387,110,673,465,142,21,11,1,3196,2201,653,923,460.1394363526588,,745.3869159095367,939.6972767330157,968.0765785654804,1018.4776311786488,436.86285964923735,436.5582581785002,436.2003436190111,424.08038014983896,140,22,32.0,26,1,[],[],[],1
8,10902,7644,3258,3822,2675,630,1147,7644.0,3330,3645,897,838,965,228,202,246,67,309,316,85,2,0,0,1979,2118,517,3030,483.1476668816523,,789.1131578264553,1008.8964571607432,1054.129137568656,1089.3072633344423,379.8193268284859,380.0526522548141,378.67626372115205,109.68124516946101,154,11,41.0,15,1,[],[],[],1
9,10902,7106,3796,3553,2487,644,1066,,4505,2978,798,767,455,138,491,334,82,812,555,156,2,4,0,2433,1630,422,2621,477.4582645111343,,773.7476028633901,974.5078796064471,1018.958046799405,,388.61244232115143,388.5471533989952,388.33609538975475,371.59990282199254,144,19,28.0,31,1,[],[],[],94
