,Truck_1_Arrival,Truck_2_Arrival,Truck_3_Arrival,Truck_4_Arrival,Truck_5_Arrival,Truck_6_Arrival,Truck_7_Arrival,Truck_8_Arrival,Truck_9_Arrival,Truck_10_Arrival,Truck_11_Arrival,Truck_12_Arrival,Truck_13_Arrival,Truck_14_Arrival,Truck_15_Arrival,Truck_1_Volume,Truck_2_Volume,Truck_3_Volume,Truck_4_Volume,Truck_5_Volume,Truck_6_Volume,Truck_7_Volume,Truck_8_Volume,Truck_9_Volume,Truck_10_Volume,Truck_11_Volume,Truck_12_Volume,Truck_13_Volume,Truck_14_Volume,Truck_15_Volume
0,66.64454766290334,110.01000853095478,137.71226059437456,146.0603096484059,106.19999999576086,171.80981368308915,147.20373520810372,199.15674296052435,201.2257123619874,218.95731976403232,211.69040286359342,950.3617792967075,929.1613616460454,930.0638834986776,989.5034901001022,462,624,436,174,263,815,281,390,616,464,244,84,311,59,254
1,71.94807946286565,122.18714809679855,124.00457418668066,145.75403141647223,139.2696516143993,190.57181207865236,205.63996404914636,238.295780144892,211.20971142969677,221.06973647693925,255.31792968965485,957.8394031904488,953.02725447674,913.0915560702927,956.8942412097857,455,759,661,154,373,527,118,376,750,738,424,0,259,56,223
2,75.05182850561255,53.71510096399577,159.58620927322065,148.84143870439203,132.65430106201558,138.66492196899392,176.38865251980332,241.50190015503182,197.05614661770778,225.7093218728324,273.0962765587787,945.8196118905192,939.1671179115253,936.6827203877818,1024.032462124229,339,695,611,357,378,1198,397,431,490,374,331,157,220,94,92
3,79.78001758678106,111.23755223525986,114.31171037518166,138.44332887135698,102.86799295678323,152.5819425768031,168.94290685677055,220.0747276534756,209.85441355596393,285.92129952939933,237.49874606649803,945.1040747601077,829.263270050049,964.5010727178338,1010.0530871568486,532,296,377,383,713,881,0,470,556,788,97,156,344,111,150
4,51.838022153351645,150.5653646019229,96.862096840075,103.25448306399886,158.13075936757392,191.00241307152913,216.70170156014646,228.33509998164726,246.6658488831939,270.45556398161045,267.3917660944604,967.0582742349474,1056.1408559123863,947.2432209022263,890.1392738779554,435,647,804,198,370,1115,364,641,736,930,349,52,345,133,165
5,48.78725869564013,100.50587260642652,139.04839075304878,107.85706524814313,138.34339477913275,181.90979809265954,202.2386023072287,232.09840962843685,231.867640096189,254.6730779841945,231.42561548061747,933.6807386734441,859.4617550592308,949.2192319305099,807.5693237355856,586,691,646,302,334,344,299,161,827,754,287,259,370,108,196
6,85.09212947312041,112.32440882668874,100.79803905977302,110.9836548459244,145.2481789530259,177.84238345214084,171.68484193652094,207.07401830424175,240.0834993167909,230.11479977067995,233.01642718076158,916.8962659882446,963.2109788485031,975.3439514443035,834.062379362452,660,625,659,32,513,286,64,545,497,927,289,126,279,170,149
7,70.21645281046123,91.16459741174212,111.54672949059324,151.317670602899,124.07304016150188,155.41113026365906,178.56627721058513,223.32283266058573,205.0285459749148,218.06277970705418,260.190404473469,957.8804900801896,989.9143134086913,964.9360463429226,966.0947232616356,264,683,384,158,244,449,260,590,569,442,145,194,328,136,117
8,67.0444607346731,71.81806472949428,146.77196223958902,143.60677773494643,140.58259474343433,205.75369240510986,190.31529357075135,219.3656140814493,234.07640953938431,221.7607940467287,187.66178442756515,931.7199147347513,889.5626491880626,966.3459313077674,882.353319706182,496,401,460,389,297,546,25,397,725,755,313,139,186,151,102
9,79.86036839833739,77.12599346511456,68.08530280186677,131.51153334509098,147.3972406809011,162.8516023176724,158.43416240528424,211.76366961458152,253.3529383038885,216.83137894395912,196.5627751492413,953.3416866956466,959.1265180399145,1014.7206527228684,965.1293308820244,456,437,450,172,734,1035,353,626,964,716,294,143,256,93,154
