Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
15171,14761,410,13364,28535,3,3,2,3,1,0,0,0,1,1,1,2,1,1,1,1,1,31,17,2,6,20,2,5,18,1,3,11,12,12,12,6.334711984,5.311605723,6.334711984,6.334711984,6.334711984,0,0,0,0.2741875,0.1645125,0.109675,0.122430556,0.146916667,0.097944444,0.569444444,0.341666667,0.227777778,6.334711984,5.311605723,4.393154762,4.393154762,4.393154762,2.9522,2.9522,2.9522,3.280222222,3.280222222,3.280222222,1.39782197,0.838693182,0.559128788,44.49125636,75
12278,5547,6731,7010,19288,3,3,2,3,5,0,0,0,2,2,1,3,1,1,3,2,1,26,17,2,6,20,2,5,16,1,3,11,25,25,24,5.115833333,2.78731713,5.115833333,5.115833333,5.115833333,0,0,0,2.250678125,1.350406875,1.8005425,1.339967593,2.411941667,1.607961111,3.116203704,2.804583333,3.739444444,5.115833333,2.78731713,1.650892857,1.650892857,1.650892857,1.238169643,1.238169643,1.238169643,1.232666667,1.232666667,1.232666667,0.252136364,0.151281818,0.105056818,48.60846637,75
5847,2652,3195,8803,14650,2,3,1,2,3,0,0,0,2,3,2,6,2,2,3,3,1,23,17,2,4,13,2,5,18,2,5,16,25,25,17,5.026793176,3.498807631,5.026793176,5.026793176,5.026793176,0,0,0,1.068328125,0.42733125,0.42733125,0.318020833,0.5724375,0.381625,1.479166667,0.8875,1.775,5.026793176,3.498807631,1.214285714,1.214285714,1.214285714,0.5304,0.5304,0.5304,0.394642857,0.394642857,0.394642857,0.120545455,0.072327273,0.070909091,49.79490776,75
8072,1062,7010,10219,18291,2,3,2,2,5,0,0,0,2,2,2,3,2,1,3,2,2,25,17,2,5,18,2,5,18,2,5,18,25,25,25,5.045,4.10406746,5.045,5.045,5.045,0,0,0,2.34396875,1.40638125,0.9375875,1.395509259,1.255958333,1.674611111,3.24537037,2.920833333,1.947222222,5.045,4.10406746,0.354,0.354,0.354,0.2124,0.2124,0.2124,0.1416,0.1416,0.1416,0.048272727,0.028963636,0.019309091,56.97489415,75
10371,4087,6284,13976,24347,2,3,2,3,4,0,0,0,2,2,2,2,2,2,2,2,2,26,17,3,9,32,1,3,11,1,3,10,25,25,25,6.36861665,5.554848967,6.36861665,6.36861665,6.36861665,0,0,0,2.1012125,1.2607275,0.840485,1.876472222,1.125883333,0.750588889,4.363888889,2.618333333,1.745555556,6.36861665,5.554848967,0.760230655,0.760230655,0.760230655,1.362333333,1.362333333,1.362333333,0.973095238,0.973095238,0.973095238,0.185772727,0.111463636,0.074309091,53.28746375,75
4804,342,4462,2672,7476,1,4,1,1,3,0,0,0,4,3,3,2,3,3,5,4,1,9,20,1,3,11,2,5,17,2,5,17,25,25,25,6.005,0.906111607,6.005,6.005,6.005,0,0,0,0.745990625,0.5967925,0.397861667,1.332402778,0.532961111,0.355307407,1.239444444,0.929583333,2.478888889,6.005,0.906111607,0.19,0.19,0.19,0.071848739,0.071848739,0.071848739,0.04789916,0.04789916,0.04789916,0.015545455,0.009327273,0.006218182,52.64237047,75
8197,737,7460,10114,18311,2,3,2,2,5,0,0,0,2,2,2,3,2,1,4,2,2,24,17,2,5,17,2,5,17,2,5,17,25,25,25,5.326014454,4.019872814,5.326014454,5.326014454,5.326014454,0,0,0,2.4944375,1.4966625,0.997775,1.485092593,1.336583333,1.782111111,2.590277778,3.108333333,2.072222222,5.326014454,4.019872814,0.258053221,0.258053221,0.258053221,0.154831933,0.154831933,0.154831933,0.103221289,0.103221289,0.103221289,0.0335,0.0201,0.0134,57.1361628,75
5660,897,4763,7837,13497,2,4,1,2,4,0,0,0,1,2,2,3,2,1,3,3,1,22,22,2,5,17,2,5,18,2,5,17,25,25,24,5.035692321,2.406941032,5.035692321,5.035692321,5.035692321,0,0,0,3.18525625,0.955576875,0.63705125,0.948189815,0.853370833,1.137827778,2.205092593,1.323055556,2.646111111,5.035692321,2.406941032,0.31407563,0.31407563,0.31407563,0.1794,0.1794,0.1794,0.125630252,0.125630252,0.125630252,0.040772727,0.024463636,0.016988636,51.70200351,75
15838,9870,5968,2888,18726,3,3,3,4,4,0,0,0,2,2,2,3,2,1,3,3,2,20,16,2,6,21,2,5,17,2,4,15,32,24,17,6.399191919,1.231590508,6.399191919,6.399191919,6.399191919,0,0,0,1.99555,1.19733,0.79822,1.188074074,1.069266667,1.425688889,2.762962963,1.657777778,1.657777778,6.399191919,1.231590508,2.797619048,2.797619048,2.797619048,2.073529412,2.073529412,2.073529412,1.645,1.645,1.645,0.350497159,0.280397727,0.263903743,40.66152443,75
13841,7928,5913,9436,23277,3,3,2,3,4,0,0,0,2,2,1,2,1,1,2,2,2,28,17,2,6,21,2,6,21,1,3,10,31,24,17,5.767083333,3.819548446,5.767083333,5.767083333,5.767083333,0,0,0,1.977159375,1.186295625,1.5817275,1.7656875,2.118825,1.41255,4.10625,2.46375,1.6425,5.767083333,3.819548446,2.247165533,2.247165533,2.247165533,1.34829932,1.34829932,1.34829932,1.887619048,1.887619048,1.887619048,0.290615836,0.225227273,0.21197861,47.77866082,75
