Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
12065,2150,9915,523,12588,3,3,2,3,7,0,0,0,1,2,1,2,1,1,7,1,2,18,10,3,9,28,1,3,9,1,2,7,16,30,14,5.035437468,0.37765781,5.035437468,5.035437468,5.035437468,0,0,0,6.63065625,1.989196875,2.6522625,2.960729167,3.552875,2.368583333,1.967261905,8.2625,2.754166667,5.035437468,0.37765781,0.457057823,0.457057823,0.457057823,0.853174603,0.853174603,0.853174603,0.731292517,0.731292517,0.731292517,0.152698864,0.048863636,0.069805195,47.44857333,65
18936,14139,4797,1849,20785,4,3,3,5,3,0,0,0,1,1,1,2,1,1,1,1,1,26,10,2,6,21,1,3,11,2,4,14,12,12,12,5.745068061,1.249324324,5.745068061,5.745068061,5.745068061,0,0,0,3.20799375,1.92479625,1.2831975,1.4324375,1.718925,1.14595,6.6625,3.9975,2.665,5.745068061,1.249324324,4.007653061,4.007653061,4.007653061,4.713,4.713,4.713,2.404591837,2.404591837,2.404591837,1.338920455,0.803352273,0.535568182,38.17946423,65
8181,5697,2484,740,8921,2,4,2,2,2,0,0,0,3,3,2,2,3,2,4,3,4,13,12,2,5,17,2,4,14,1,3,11,28,19,17,5.113125,0.41696317,5.113125,5.113125,5.113125,0,0,0,0.553725,0.332235,0.332235,0.74175,0.2967,0.2967,0.8625,0.69,0.345,5.113125,0.41696317,1.994747899,1.994747899,1.994747899,1.453316327,1.453316327,1.453316327,1.266,1.266,1.266,0.231209416,0.204437799,0.152326203,37.78253428,65
11855,11479,376,479,12334,3,3,2,3,1,0,0,0,5,1,1,2,2,2,3,3,5,18,9,2,5,18,1,3,10,1,3,10,22,22,21,5,0.375,5,5,5,0,0,0,0.05029,0.15087,0.10058,0.112277778,0.067366667,0.044911111,0.174074074,0.104444444,0.041777778,5,0.375,3.826333333,3.826333333,3.826333333,4.099642857,4.099642857,4.099642857,2.733095238,2.733095238,2.733095238,0.592923554,0.355754132,0.248463203,34.36595031,65
7097,5329,1768,1317,8414,2,3,2,2,2,0,0,0,2,2,2,5,2,2,1,1,2,13,17,1,3,11,2,6,21,1,3,10,28,15,19,5,0.543650794,5,5,5,0,0,0,0.591175,0.354705,0.23647,0.211177778,0.316766667,0.211177778,2.455555556,1.473333333,0.491111111,5,0.543650794,2.960555556,2.960555556,2.960555556,0.906292517,0.906292517,0.906292517,1.268809524,1.268809524,1.268809524,0.216274351,0.242227273,0.127488038,37.25875498,65
8620,7485,1135,1525,10145,2,3,2,2,1,0,0,0,5,2,2,3,2,2,3,4,2,13,17,2,6,21,2,5,18,1,2,7,22,22,21,5.57454191,0.606120827,5.57454191,5.57454191,5.57454191,0,0,0,0.15180625,0.227709375,0.15180625,0.225949074,0.203354167,0.135569444,0.525462963,0.236458333,0.315277778,5.57454191,0.606120827,2.121598639,2.121598639,2.121598639,1.497,1.497,1.497,2.545918367,2.545918367,2.545918367,0.386621901,0.23197314,0.162012987,37.42690355,65
14976,10988,3988,7492,22468,3,3,2,3,3,0,0,0,1,1,1,2,1,1,1,1,1,26,15,2,6,22,2,4,14,1,3,11,22,22,21,6.24,3.399809524,6.24,6.24,6.24,0,0,0,2.666975,1.600185,1.06679,1.190861111,1.429033333,0.952688889,5.538888889,3.323333333,2.215555556,6.24,3.399809524,3.052222222,3.052222222,3.052222222,2.803061224,2.803061224,2.803061224,2.441777778,2.441777778,2.441777778,0.567561983,0.34053719,0.237835498,43.00268291,65
17056,10233,6823,1900,18956,4,3,3,4,5,0,0,0,1,1,1,2,1,1,2,1,1,28,7,2,6,21,1,3,10,1,3,10,33,13,13,5.475855002,1.833976834,5.475855002,5.475855002,5.475855002,0,0,0,4.56288125,2.73772875,1.8251525,2.037423611,2.444908333,1.629938889,4.738194444,5.685833333,3.790555556,5.475855002,1.833976834,2.900510204,2.900510204,2.900510204,3.654642857,3.654642857,3.654642857,2.436428571,2.436428571,2.436428571,0.352376033,0.536695804,0.357797203,38.83214816,65
4109,3320,789,9871,13980,1,3,1,1,1,0,0,0,2,2,4,3,2,2,2,2,1,18,17,2,6,20,2,6,19,1,2,6,17,16,16,5.376124613,3.923290938,5.376124613,5.376124613,5.376124613,0,0,0,0.263821875,0.158293125,0.052764375,0.157069444,0.1413625,0.094241667,0.547916667,0.32875,0.438333333,5.376124613,3.923290938,0.988095238,0.988095238,0.988095238,0.62406015,0.62406015,0.62406015,1.317460317,1.317460317,1.317460317,0.221925134,0.141477273,0.094318182,52.78483039,65
13115,4710,8405,4113,17228,3,3,2,3,5,0,0,0,2,1,1,2,1,1,2,1,2,23,13,2,5,17,2,4,15,2,4,14,22,22,21,5.975995215,2.203055379,5.975995215,5.975995215,5.975995215,0,0,0,2.810421875,3.37250625,2.2483375,2.509826389,3.011791667,2.007861111,5.836805556,7.004166667,2.334722222,5.975995215,2.203055379,1.649159664,1.649159664,1.649159664,1.1775,1.1775,1.1775,0.801020408,0.801020408,0.801020408,0.243285124,0.145971074,0.101948052,44.62689692,65
