,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
33,9000,7090,1910,3545,2482,555,1064,7090.0,3154,2368,723,386,309,90,29,27,7,522,422,118,0,0,0,2217,1610,508,2755,388.69141581701444,1006.5367654787905,360.0,635.4232966086297,871.626986279257,1007.4007043605778,1062.490085603371,315.3474554833667,327.0362727569875,327.13332412525443,0.0,111,2,16.0,22,0,[],[],[],1
34,9000,5304,3696,2652,1856,469,796,,3160,2935,741,589,498,133,358,353,75,785,687,205,5,7,1,1423,1390,327,2164,524.700553483355,1030.9258456056612,360.0,750.5730935748935,936.3385760234162,1078.1021149883495,,941.0806053287985,519.7420423757114,520.3237246467318,503.6737530850391,83,16,25.0,34,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A65A39D50>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A65A39750>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A65D5ADD0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A65D5AFD0>]",262
35,9000,5922,3078,2961,2073,530,888,,3193,2612,672,650,535,145,377,296,79,490,398,85,10,8,5,1666,1375,358,2523,481.3309289582207,1031.1075213947477,360.0,705.8124005653644,912.1076539196279,1083.5969412174902,,474.6674408719529,919.0165783157017,475.0339706594404,430.0241288988134,92,16,27.0,20,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A66EDCD90>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A66EDC990>]",163
36,9000,5423,3577,2712,1898,577,813,,3359,2630,540,560,409,88,600,491,97,669,531,118,8,5,1,1522,1194,236,2471,534.7863757072087,1021.8997299962311,360.0,775.7715541565808,965.5666357212758,1080.0321775691257,,522.0189445364947,971.0061291901114,522.7956952293099,520.0629494853615,85,24,22.0,27,1,[],[],[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A68072790>],106
37,9000,6181,2819,3090,2163,613,927,,3013,2495,578,285,222,49,653,502,121,474,406,91,10,4,2,1591,1361,315,2914,453.4981594745097,983.700215798281,360.0,678.7638988488861,895.3209799255325,1045.5293326928402,,901.3028923568904,442.50582314436275,442.174277255842,419.2899491898955,97,26,12.0,20,1,[],[],[],55
38,9000,7308,1692,3654,2558,579,1096,,3052,2712,697,383,353,96,0,0,0,395,374,84,5,2,0,2269,1983,517,2539,386.49387126056973,1009.7091298493923,360.0,640.7985799508488,883.1170871744017,1067.8319647854871,,0.0,326.9085229467597,327.0450846970513,288.91894613451046,114,0,17.0,18,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A69B1CD50>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A69B1C9D0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A69B1C190>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A69B1C1D0>]",322
39,9000,5933,3067,2966,2077,517,890,5933.0,4074,2602,643,724,431,120,418,306,60,563,338,90,9,8,0,2360,1519,373,1681,446.5867180335523,1046.6230156803451,360.0,658.785219352804,855.7102501593888,1062.0288254074333,1099.4307497299324,441.9274953067959,442.4027270191931,442.71301054121034,437.17262825928395,92,16,26.0,20,1,[],[],[],1
40,9000,5311,3689,2656,1859,593,797,,3594,1779,565,633,299,96,693,377,138,919,399,127,3,4,1,1346,700,203,3062,539.9377438429976,1066.3378590405011,360.0,772.6008799581675,960.020794240331,1126.0612476390143,,525.0586513747814,965.7663078534558,530.3150404215529,493.1380110345482,83,25,21.0,29,1,[],[],[],8
41,9000,5245,3755,2622,1836,352,787,,4427,2859,820,454,287,97,1248,785,231,370,224,56,1,1,1,2354,1562,435,894,570.3958598989218,1122.5595087056972,360.0,819.3735530210193,1002.7846749443077,1157.6127076785117,,1008.2518742923298,581.4500445385987,579.0614708634735,402.10208288113836,83,46,17.0,13,1,[],[],[],7
42,9000,5544,3456,2772,1940,481,832,,3324,2610,739,758,591,170,555,436,123,403,322,93,1,2,2,1607,1259,351,2327,518.3226394523783,1013.7644843166383,360.0,748.9070655921658,941.7289459596402,1061.9743035397723,,511.9056693006665,513.3598913466647,947.8912810131053,343.8929416197911,86,23,31.0,17,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6AC90AD0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6AC91E10>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6AC91ED0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6AC91410>]",286
43,9000,6185,2815,3092,2165,581,928,,3112,2488,643,702,549,170,444,333,87,252,232,38,4,3,1,1710,1371,347,2757,445.6878625337697,1011.2831761568773,360.0,668.1739307854615,881.9794990227407,1069.9908308323197,,885.0619735625897,437.4813955184391,436.751258358686,374.75860032909577,97,18,29.0,11,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6BE54490>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6BE54050>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6BE55010>]",217
44,9000,5532,3468,2766,1936,429,830,,2310,2780,952,639,724,241,269,323,115,422,527,192,8,5,3,972,1201,401,2958,480.82327861804686,1025.606922895126,360.0,687.7176438720193,881.8686347510561,1068.6855261585563,,470.1713212048354,886.8662996746428,469.1321846504113,441.7165847305083,86,15,33.0,23,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6CF89C90>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6CF89F50>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6CF893D0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6CF88810>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6CF8BD50>]",336
45,9000,5455,3545,2728,1909,480,818,,2886,2338,847,389,300,104,512,425,155,765,640,249,2,3,1,1218,970,338,2929,507.5242068462818,1079.5853509038843,360.0,731.3560499136668,922.4961395962076,1128.2476469100463,,925.593633315078,495.9232094509995,498.4808427216277,401.52900258579655,85,22,16.0,34,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6DB4C290>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6DB4CBD0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6DB4EC10>]",208
46,9000,5783,3217,2892,2024,630,867,,3067,2890,467,755,683,114,511,479,70,265,294,46,0,0,0,1536,1434,237,2576,509.8219432784665,1007.4953265451895,360.0,747.7822928687457,950.0026455823969,1070.1558888068942,,496.3396295650681,495.567433689769,495.5998160127682,0.0,91,22,32.0,13,0,[],[],[],42
47,9000,6147,2853,3074,2151,450,922,,3636,2354,798,479,297,98,487,355,109,525,376,119,4,4,0,2141,1322,472,2212,467.0703739399137,997.1667043654886,360.0,701.2296923706651,916.4239897930731,1042.235800085925,,456.74891939297845,457.47583843664626,456.71747977182525,401.3791707253067,97,20,18.0,21,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6F2B4B90>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6F2B4E10>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6F2B4290>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6F2B41D0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6F2B5550>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A6F2B5910>]",407
48,9000,6212,2788,3106,2174,435,932,,3243,2534,862,220,245,68,674,442,165,464,367,131,5,6,1,1880,1474,497,2361,478.70247564920396,1030.1121907117874,360.0,720.12398369014,937.0874736183099,1074.1029537855773,,474.79881434283845,470.93535225210985,940.9625809105377,395.4817484617253,97,26,11.0,20,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A703E2C50>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A703E1D90>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A703E3190>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A70429BD0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A704297D0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A70429450>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A70428E50>]",497
49,9000,5690,3310,2845,1991,619,854,,2877,2717,538,501,438,102,341,361,59,708,656,142,1,1,0,1326,1261,235,2868,510.98602077682824,982.6441476179774,360.0,750.6424302442897,950.6648460071692,1044.334007984029,,491.6790644555301,495.58027921664694,496.51427853769655,438.7975951060197,89,16,21.0,31,1,[],[],[],40
