Distribution_Center,SKU_Code,Product_Offering,Generation,ASP Group,Week,Forecasted,Unconstrained_Demand
G,Prod_A_2,A,2,1,7,8487,3229
G,Prod_A_2,A,2,1,8,28070,3146
G,Prod_A_2,A,2,1,9,27822,4099
G,Prod_A_2,A,2,1,10,3312,1573
G,Prod_A_2,A,2,1,11,7204,4140
G,Prod_A_2,A,2,1,12,12752,5838
G,Prod_A_2,A,2,1,13,3602,1366
G,Prod_A_2,A,2,1,14,1118,869
G,Prod_A_2,A,2,1,15,5589,1283
G,Prod_A_2,A,2,1,16,6831,1697
G,Prod_A_2,A,2,1,17,7556,5299
G,Prod_A_2,A,2,1,18,3478,1863
G,Prod_A_2,A,2,1,19,4720,2236
G,Prod_A_2,A,2,1,20,5589,1573
G,Prod_A_2,A,2,1,21,5589,1615
G,Prod_A_2,A,2,1,22,2670,704
G,Prod_A_2,A,2,1,23,3561,911
G,Prod_A_2,A,2,1,24,5175,1739
G,Prod_A_2,A,2,1,25,16768,3933
G,Prod_A_2,A,2,1,26,1553,1325
G,Prod_A_2,A,2,1,27,3354,787
G,Prod_A_2,A,2,1,28,3022,1201
G,Prod_A_2,A,2,1,29,3105,6831
G,Prod_A_2,A,2,1,30,621,3188
G,Prod_A_2,A,2,1,31,4968,3436
G,Prod_A_2,A,2,1,32,1325,5092
G,Prod_A_2,A,2,1,33,4223,662
G,Prod_A_2,A,2,1,34,124,41
G,Prod_A_2,A,2,1,35,9605,2567
G,Prod_A_2,A,2,1,36,5465,8032
G,Prod_A_2,A,2,1,37,4099,1780
G,Prod_A_2,A,2,1,38,7394,373
G,Prod_A_2,A,2,1,39,2194,124
G,Prod_A_2,A,2,1,40,1213,124
G,Prod_A_2,A,2,1,41,3213,124
G,Prod_A_2,A,2,1,42,2207,1159
G,Prod_A_2,A,2,1,43,6247,497
G,Prod_A_2,A,2,1,44,6086,2070
G,Prod_A_2,A,2,1,45,41,787
G,Prod_A_2,A,2,1,46,662,1118
G,Prod_A_2,A,2,1,47,5589,1159
G,Prod_A_2,A,2,1,48,5341,1863
G,Prod_A_2,A,2,1,49,124,290
G,Prod_A_2,A,2,1,50,83,787
G,Prod_A_2,A,2,1,51,10110,2360
G,Prod_A_2,A,2,1,52,3561,2029
G,Prod_A_2,A,2,1,54,124,497
G,Prod_A_2,A,2,1,55,83,580
G,Prod_A_2,A,2,1,56,1325,704
G,Prod_A_2,A,2,1,57,1987,414
G,Prod_A_2,A,2,1,58,124,1076
G,Prod_A_2,A,2,1,59,83,373
G,Prod_A_2,A,2,1,60,1408,662
G,Prod_A_2,A,2,1,61,1408,828
G,Prod_A_2,A,2,1,62,248,745
G,Prod_A_2,A,2,1,63,497,787
G,Prod_A_2,A,2,1,64,3465,828
G,Prod_A_2,A,2,1,65,662,497
G,Prod_A_2,A,2,1,66,124,621
G,Prod_A_2,A,2,1,67,124,497
G,Prod_A_2,A,2,1,68,1325,1283
G,Prod_A_2,A,2,1,69,124,1532
G,Prod_A_2,A,2,1,70,83,787
G,Prod_A_2,A,2,1,71,41,207
G,Prod_A_2,A,2,1,72,83,621
G,Prod_A_2,A,2,1,73,455,124
G,Prod_A_2,A,2,1,74,911,1863
G,Prod_A_2,A,2,1,75,83,166
G,Prod_A_2,A,2,1,76,83,373
G,Prod_A_2,A,2,1,77,1639,331
G,Prod_A_2,A,2,1,78,83,994
G,Prod_A_2,A,2,1,79,83,1615
G,Prod_A_2,A,2,1,80,83,414
G,Prod_A_2,A,2,1,81,166,207
G,Prod_A_2,A,2,1,82,1366,580
G,Prod_A_2,A,2,1,83,455,83
G,Prod_A_2,A,2,1,84,83,331
G,Prod_A_2,A,2,1,85,83,455
G,Prod_A_2,A,2,1,86,83,455
G,Prod_A_2,A,2,1,87,12,373
G,Prod_A_2,A,2,1,88,83,455
G,Prod_A_2,A,2,1,89,83,745
G,Prod_A_2,A,2,1,90,2749,83
G,Prod_A_2,A,2,1,91,83,414
G,Prod_A_2,A,2,1,92,4,248
G,Prod_A_2,A,2,1,93,12,248
G,Prod_A_2,A,2,1,94,124,455
G,Prod_A_2,A,2,1,95,41,290
H,Prod_A_2,A,2,1,12,6790,1739
H,Prod_A_2,A,2,1,13,2641,3064
H,Prod_A_2,A,2,1,14,2401,8777
H,Prod_A_2,A,2,1,15,2550,3271
H,Prod_A_2,A,2,1,16,1275,4140
H,Prod_A_2,A,2,1,17,2443,10454
H,Prod_A_2,A,2,1,18,2443,1242
H,Prod_A_2,A,2,1,19,2683,886
H,Prod_A_2,A,2,1,20,3254,1168
H,Prod_A_2,A,2,1,21,1627,248
H,Prod_A_2,A,2,1,22,1627,166
H,Prod_A_2,A,2,1,24,1499,5382
H,Prod_A_2,A,2,1,26,1337,538
H,Prod_A_2,A,2,1,27,555,455
H,Prod_A_2,A,2,1,28,261,207
H,Prod_A_2,A,2,1,29,3668,7121
H,Prod_A_2,A,2,1,30,2592,4968
H,Prod_A_2,A,2,1,31,2592,8322
H,Prod_A_2,A,2,1,32,2666,331
H,Prod_A_2,A,2,1,33,1370,538
H,Prod_A_2,A,2,1,34,1938,1118
H,Prod_A_2,A,2,1,35,12702,1325
H,Prod_A_2,A,2,1,36,13464,3146
H,Prod_A_2,A,2,1,37,12942,3022
H,Prod_A_2,A,2,1,38,6401,41
H,Prod_A_2,A,2,1,40,4832,166
H,Prod_A_2,A,2,1,41,9332,1139
H,Prod_A_2,A,2,1,42,178,166
