Linehaul,TLMD,NC,TFC,Total
20896,9314,11582,3635,24531
13432,4817,8615,12474,25906
22028,13750,8278,2614,24642
16910,7136,9774,7411,24321
19560,11643,7917,8439,27999
21939,13162,8777,10225,32164
2110,1102,1008,3418,5528
