Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
5792,26,5766,5510,11302,2,3,1,2,4,0,0,0,2,1,1,2,1,1,2,2,1,19,16,1,4,13,1,4,13,1,4,18,20,18,22,5.124566986,2.362994777,5.124566986,5.124566986,5.124566986,0,0,0,1.92800625,2.3136075,1.542405,1.721791667,2.06615,1.377433333,4.004166667,2.4025,3.203333333,5.124566986,2.362994777,0.014444444,0.014444444,0.014444444,0.008666667,0.008666667,0.008666667,0.005777778,0.005777778,0.005777778,0.001477273,0.000984848,0.00053719,51.46428352,50
8464,3067,5397,1155,9619,2,3,2,2,4,0,0,0,2,2,2,3,2,3,2,1,1,13,14,2,6,21,1,3,11,1,4,10,20,20,20,5.29,0.57518254,5.29,5.29,5.29,0,0,0,1.804621875,1.082773125,0.72184875,1.074402778,0.9669625,0.429761111,3.747916667,4.4975,2.998333333,5.29,0.57518254,0.869331066,0.869331066,0.869331066,1.022333333,1.022333333,1.022333333,0.730238095,0.730238095,0.730238095,0.174261364,0.104556818,0.069704545,44.00791841,50
7248,3007,4241,3479,10727,2,3,2,2,3,0,0,0,2,2,1,2,1,1,2,2,2,16,17,2,5,17,1,3,9,1,3,10,20,20,20,5.02561882,1.431902505,5.02561882,5.02561882,5.02561882,0,0,0,1.418084375,0.850850625,1.1344675,1.266409722,1.519691667,1.013127778,2.945138889,1.767083333,1.178055556,5.02561882,1.431902505,1.052871148,1.052871148,1.052871148,1.193253968,1.193253968,1.193253968,0.715952381,0.715952381,0.715952381,0.170852273,0.102511364,0.068340909,45.75668571,50
8778,5489,3289,3438,12216,2,3,2,2,3,0,0,0,1,2,1,6,1,2,1,1,1,16,15,1,3,11,3,7,25,1,2,7,30,13,13,5.48625,1.563145833,5.48625,5.48625,5.48625,0,0,0,2.19951875,0.659855625,0.8798075,0.327377315,1.178558333,0.392852778,4.568055556,2.740833333,1.827222222,5.48625,1.563145833,3.049444444,3.049444444,3.049444444,0.784142857,0.784142857,0.784142857,1.867006803,1.867006803,1.867006803,0.207916667,0.287884615,0.191923077,42.5513704,50
6668,1994,4674,9266,15934,2,3,1,2,3,0,0,0,1,1,1,2,1,1,1,1,1,22,17,2,5,18,1,4,11,1,4,13,21,19,19,5.778786625,3.682829889,5.778786625,5.778786625,5.778786625,0,0,0,3.1257375,1.8754425,1.250295,1.395708333,1.67485,1.116566667,6.491666667,3.895,2.596666667,5.778786625,3.682829889,0.664666667,0.664666667,0.664666667,0.664666667,0.664666667,0.664666667,0.443111111,0.443111111,0.443111111,0.107900433,0.071555024,0.047703349,51.13656591,50
4936,4459,477,13772,18708,1,3,1,1,1,0,0,0,2,3,1,2,1,1,2,2,2,20,17,1,3,10,3,8,26,1,2,6,20,20,20,6.460840783,5.473767886,6.460840783,6.460840783,6.460840783,0,0,0,0.159496875,0.06379875,0.1275975,0.1424375,0.170925,0.11395,0.33125,0.19875,0.1325,6.460840783,5.473767886,2.654166667,2.654166667,2.654166667,0.6125,0.6125,0.6125,1.769444444,1.769444444,1.769444444,0.253352273,0.152011364,0.101340909,53.00494547,50
9094,6790,2304,6540,15634,2,3,2,2,2,0,0,0,2,1,1,2,1,1,2,2,1,19,17,3,7,25,1,2,7,1,3,10,12,12,19,5.68375,2.620840278,5.68375,5.68375,5.68375,0,0,0,0.7704,0.92448,0.61632,0.688,0.8256,0.5504,1.6,0.96,1.28,5.68375,2.620840278,1.616666667,1.616666667,1.616666667,3.464285714,3.464285714,3.464285714,1.616666667,1.616666667,1.616666667,0.642992424,0.385795455,0.162440191,45.00249022,50
3660,2368,1292,5862,9522,1,3,1,1,1,0,0,0,2,1,1,6,1,1,3,3,5,14,16,2,6,20,1,3,9,1,4,11,15,17,28,5.002627929,2.475506757,5.002627929,5.002627929,5.002627929,0,0,0,0.4320125,0.518415,0.34561,0.128601852,0.462966667,0.308644444,0.598148148,0.358888889,0.143555556,5.002627929,2.475506757,0.704761905,0.704761905,0.704761905,0.93968254,0.93968254,0.93968254,0.526222222,0.526222222,0.526222222,0.179393939,0.094973262,0.038441558,50.19698381,50
10449,7478,2971,3958,14407,2,3,2,3,2,0,0,0,2,2,1,3,1,1,3,2,2,16,15,2,5,18,2,4,14,1,3,11,21,19,19,6.332727273,1.804324675,6.332727273,6.332727273,6.332727273,0,0,0,0.993428125,0.596056875,0.7947425,0.591449074,1.064608333,0.709738889,1.375462963,1.237916667,0.825277778,6.332727273,1.804324675,2.492666667,2.492666667,2.492666667,1.907653061,1.907653061,1.907653061,1.661777778,1.661777778,1.661777778,0.40465368,0.268349282,0.178899522,41.28517216,50
9984,7434,2550,424,10408,2,3,2,2,2,0,0,0,2,2,2,8,2,2,3,2,2,12,10,1,3,11,1,3,11,2,6,20,15,15,30,6.24,0.312,6.24,6.24,6.24,0,0,0,0.85265625,0.51159375,0.3410625,0.190364583,0.456875,0.304583333,1.180555556,1.0625,0.708333333,6.24,0.312,4.13,4.13,4.13,2.478,2.478,2.478,0.885,0.885,0.885,0.563181818,0.337909091,0.112636364,36.75254846,50
