Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
2110,1102,1008,3418,5528,1,3,1,1,1,0,0,0,1,1,1,2,1,1,1,1,1,11,12,1,3,11,1,2,8,1,3,10,14,14,12,6.039682273,1.92454955,6.039682273,6.039682273,6.039682273,0,0,0,0.6741,0.40446,0.26964,0.301,0.3612,0.2408,1.4,0.84,0.56,6.039682273,1.92454955,0.612222222,0.612222222,0.612222222,0.551,0.551,0.551,0.262380952,0.262380952,0.262380952,0.089448052,0.053668831,0.041742424,37.80142083,40
3622,2650,972,3786,7408,1,3,1,1,1,0,0,0,1,1,1,2,1,1,1,1,1,12,11,1,3,11,1,2,8,1,3,10,14,14,12,6.162348181,2.325552826,6.162348181,6.162348181,6.162348181,0,0,0,0.650025,0.390015,0.26001,0.29025,0.3483,0.2322,1.35,0.81,0.54,6.162348181,2.325552826,1.472222222,1.472222222,1.472222222,1.325,1.325,1.325,0.630952381,0.630952381,0.630952381,0.215097403,0.129058442,0.100378788,39.43976067,40
3804,711,3093,3403,7207,1,3,1,1,2,0,0,0,1,1,1,2,1,1,1,1,1,12,10,1,1,5,1,1,5,1,1,5,16,12,12,6.09284679,2.299324324,6.09284679,6.09284679,6.09284679,0,0,0,2.06844375,1.24106625,0.8273775,0.923604167,1.108325,0.738883333,4.295833333,2.5775,1.718333333,6.09284679,2.299324324,1.185,1.185,1.185,0.711,0.711,0.711,0.474,0.474,0.474,0.050497159,0.040397727,0.026931818,42.87367443,40
4804,342,4462,2672,7476,1,3,1,1,3,0,0,0,1,1,1,2,1,1,1,1,1,10,11,2,3,10,2,3,9,1,2,8,15,13,12,6.314533826,1.641277641,6.314533826,6.314533826,6.314533826,0,0,0,2.9839625,1.7903775,1.193585,1.332402778,1.598883333,1.065922222,6.197222222,3.718333333,2.478888889,6.314533826,1.641277641,0.203571429,0.203571429,0.203571429,0.135714286,0.135714286,0.135714286,0.114,0.114,0.114,0.025909091,0.017937063,0.012954545,48.32977417,40
6291,4052,2239,0,6291,2,3,1,2,2,0,0,0,2,2,1,3,3,1,2,2,2,12,0,1,3,11,1,3,10,1,2,7,14,14,12,5.199173554,0.259958678,5.199173554,5.199173554,5.199173554,0,0,0,0.748665625,0.449199375,0.5989325,0.445726852,0.267436111,0.534872222,1.554861111,0.932916667,0.621944444,5.199173554,0.259958678,2.251111111,2.251111111,2.251111111,1.447142857,1.447142857,1.447142857,1.378231293,1.378231293,1.378231293,0.328896104,0.197337662,0.153484848,33.37919154,40
6463,4064,2399,415,6878,2,3,2,2,2,0,0,0,1,1,1,2,1,1,1,1,1,13,6,1,3,10,1,3,9,1,3,9,14,13,13,5,0.543650794,5,5,5,0,0,0,1.60433125,0.96259875,0.6417325,0.716368056,0.859641667,0.573094444,3.331944444,1.999166667,1.332777778,5,0.543650794,2.419047619,2.419047619,2.419047619,1.612698413,1.612698413,1.612698413,1.075132275,1.075132275,1.075132275,0.32987013,0.213146853,0.142097902,34.27420289,40
9815,6019,3796,643,10458,2,3,2,2,3,0,0,0,1,1,1,2,1,1,1,1,1,14,4,1,3,12,1,2,7,1,3,9,14,14,12,6.486006148,1.086148649,6.486006148,6.486006148,6.486006148,0,0,0,2.538575,1.523145,1.01543,1.133527778,1.360233333,0.906822222,5.272222222,3.163333333,2.108888889,6.486006148,1.086148649,3.343888889,3.343888889,3.343888889,3.070918367,3.070918367,3.070918367,1.592328042,1.592328042,1.592328042,0.488555195,0.293133117,0.227992424,35.38749743,40
4839,4277,562,1326,6165,1,3,1,1,1,0,0,0,2,1,1,2,1,1,2,2,2,8,11,1,3,10,1,3,9,1,3,9,14,13,13,6.04875,0.861706845,6.04875,6.04875,6.04875,0,0,0,0.18791875,0.2255025,0.150335,0.167819444,0.201383333,0.134255556,0.390277778,0.234166667,0.156111111,6.04875,0.861706845,2.545833333,2.545833333,2.545833333,1.697222222,1.697222222,1.697222222,1.131481481,1.131481481,1.131481481,0.347159091,0.224318182,0.149545455,36.31421517,40
7912,6673,1239,873,8785,2,3,2,2,1,0,0,0,1,1,1,2,1,1,1,1,1,15,5,1,3,10,1,3,9,1,3,9,14,13,13,5.215647226,1.17972973,5.215647226,5.215647226,5.215647226,0,0,0,0.82858125,0.49714875,0.3314325,0.369979167,0.443975,0.295983333,1.720833333,1.0325,0.688333333,5.215647226,1.17972973,3.97202381,3.97202381,3.97202381,2.648015873,2.648015873,2.648015873,1.765343915,1.765343915,1.765343915,0.54163961,0.349982517,0.233321678,33.93087434,40
4188,3385,803,3018,7206,1,3,1,1,1,0,0,0,1,1,1,2,1,1,1,1,1,11,12,1,3,10,1,2,7,1,3,10,15,13,12,5.332873347,1.699324324,5.332873347,5.332873347,5.332873347,0,0,0,0.53700625,0.32220375,0.2148025,0.239784722,0.287741667,0.191827778,1.115277778,0.669166667,0.446111111,5.332873347,1.699324324,2.014880952,2.014880952,2.014880952,1.727040816,1.727040816,1.727040816,0.805952381,0.805952381,0.805952381,0.256439394,0.177534965,0.128219697,41.36578771,40
