Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours
6.0364306220095525,0.09821176805650488,6.036430622009545,6.036430622009558,6.03643062200957,0.0,0.0,0.0,1.3247937500000002,4.7692575,3.179505,3.549291666666667,4.25915,2.8394333333333335,5.502777777777777,9.905000000000001,3.301666666666667,6.036430622009545,0.09821176805650488,0.6966666666666663,0.6966666666666667,0.6966666666666663,0.8957142857142651,0.8957142857142651,0.8957142857142857,0.5573333333333341,0.5573333333333341,0.5573333333333341,0.17812499999999998,0.106875,0.043846153846153854
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.9506219021789954,5.539745627980922,5.9506219021789954,5.9506219021789954,5.9506219021789954,0.0,0.0,0.0,2.78801875,1.6728112499999988,1.1152074999999995,1.2449097222222214,1.4938916666666664,0.9959277777777773,5.790277777777778,3.4741666666666653,2.316111111111111,5.9506219021789954,5.539745627980922,0.8405612244897963,0.8405612244897963,0.8405612244897963,0.4942499999999841,0.4942499999999841,0.4942499999999841,0.29419642857139994,0.29419642857139994,0.29419642857139994,0.10211776859504146,0.06127066115702462,0.042792207792207784
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.934439793819953,5.873211446740858,5.934439793819953,5.934439793819953,5.934439793819953,0.0,0.0,0.0,1.0954125000000001,0.6572475,0.438165,0.48912500000000003,0.58695,0.3913,2.2749999999999995,1.3649999999999984,0.9099999999999985,5.934439793819953,5.873211446740858,2.426190476190476,2.426190476190476,2.426190476190476,1.0189999999999635,1.0189999999999744,1.01899999999998,0.4621315192743811,0.4621315192743811,0.4621315192743811,0.3087878787878782,0.18527272727272762,0.09751196172248791
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.325624999999993,0.8918308531746016,5.325624999999988,5.325625,5.325624999999991,0.0,0.0,0.0,3.8305999999999996,2.298359999999999,0.7661199999999999,0.5701481481481482,0.41050666666666585,1.3683555555555555,1.5911111111111111,4.773333333333333,3.182222222222222,5.325624999999988,0.8918308531746016,0.9309999999999956,0.9310000000000003,0.9309999999999956,0.5249999999999764,0.5249999999999764,0.525,0.8312499999999649,0.8312499999999649,0.83125,0.14426652892561975,0.0865599173553719,0.060454545454545455
5.73756205184779,2.789092664092665,5.737562051847796,5.737562051847776,5.737562051847768,0.0,0.0,0.0,4.18704375,2.512226250000001,1.6748175,1.869604166666666,2.243525,1.495683333333333,4.347916666666666,5.217500000000001,3.4783333333333326,5.7375620518478065,2.789092664092665,2.338000000000004,2.3380000000000027,2.338000000000008,1.4028,1.4028,1.4028,1.5586666666666669,1.5586666666666646,1.5586666666666646,0.2846590909090909,0.2656818181818182,0.18754010695187168
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6.441297985883973,5.618243243243243,6.441297985883973,6.441297985883973,6.441297985883973,0.0,0.0,0.0,3.4574374999999993,2.074462499999999,1.382975,1.543819444444444,1.8525833333333335,1.2350555555555554,3.5902777777777777,4.308333333333334,2.8722222222222222,6.441297985883973,5.618243243243243,1.192666666666656,1.192666666666667,1.192666666666656,0.8944999999999821,0.8944999999999999,0.8944999999999821,0.7951111111111029,0.7951111111111118,0.7951111111111029,0.127059659090909,0.14350267379679132,0.1016477272727272
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.915761177594612,3.9180180180180186,5.915761177594612,5.915761177594612,5.915761177594612,0.0,0.0,0.0,1.0753500000000003,0.6452099999999987,0.43013999999999974,0.4801666666666673,0.5762,0.38413333333333366,2.2333333333333334,1.3399999999999999,0.8933333333333319,5.915761177594612,3.9180180180180186,2.1800595238095237,2.1800595238095237,2.1800595238095237,3.6624999999999983,3.6624999999999983,3.6624999999999983,3.0520833333333335,3.0520833333333335,3.0520833333333335,0.5297004132231407,0.31782024793388464,0.22196969696969676
5.614374999999995,0.23170436507937753,5.614374999999989,5.614375,5.614374999999995,0.0,0.0,0.0,3.48218125,4.1786175,2.785745,3.1097361111111113,3.731683333333333,2.487788888888889,4.821296296296296,8.678333333333335,2.8927777777777517,5.614374999999989,0.23170436507937753,4.495238095238095,4.495238095238095,4.495238095238095,1.2586666666666664,1.258666666666679,1.2586666666666755,1.6782222222222392,1.678222222222222,1.6782222222222627,0.20931263858093127,0.42909090909090963,0.2860606060606064
6.080635613270587,3.8751987281399063,6.080635613270587,6.080635613270587,6.080635613270587,0.0,0.0,0.0,2.1741062499999995,2.6089275,1.7392849999999997,1.9415694444444442,2.329883333333335,1.5532555555555554,4.5152777777777775,2.7091666666666665,3.6122222222222224,6.080635613270587,3.8751987281399063,1.040666666666641,1.040666666666641,1.040666666666641,1.1149999999999998,1.1149999999999998,1.1149999999999998,0.6937777777777532,0.6937777777777532,0.6937777777777532,0.29564393939393935,0.17738636363636337,0.08347593582887704
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6.416249999999995,5.973223214285707,6.416249999999992,6.41625,6.416249999999996,0.0,0.0,0.0,1.9955500000000002,1.197330000000001,0.7982199999999997,0.891055555555555,1.0692666666666675,0.7128444444444444,4.144444444444445,2.486666666666668,1.6577777777777771,6.416249999999992,5.973223214285707,2.064058956916088,2.064058956916088,2.0640589569161,2.4273333333333333,2.4273333333333333,2.4273333333333333,1.238435374149633,1.238435374149633,1.2384353741496597,0.3597826086956521,0.22568181818181818,0.16550000000000012
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.205950058427325,1.9646263910969788,5.205950058427325,5.205950058427325,5.205950058427325,0.0,0.0,0.0,0.21043333333333317,0.1893899999999995,0.12626000000000026,0.09396296296296303,0.1691333333333329,0.11275555555555528,0.43703703703703667,0.26222222222222297,0.17481481481481329,5.205950058427325,1.9646263910969788,0.3511904761904705,0.3511904761904705,0.3511904761904705,0.23599999999999266,0.23599999999999266,0.23599999999999266,0.15733333333332578,0.15733333333332578,0.15733333333332578,0.04876033057851246,0.029256198347107312,0.02043290043290046
5.026793175897743,3.498807631160572,5.026793175897743,5.026793175897743,5.026793175897743,0.0,0.0,0.0,1.0683281249999999,1.2819937500000007,0.8546625000000002,0.9540624999999998,1.144874999999999,0.7632499999999999,2.21875,1.3312500000000003,1.7749999999999306,5.026793175897743,3.498807631160572,1.5785714285714285,1.5785714285714285,1.5785714285714285,0.6765306122448953,0.6765306122448953,0.6765306122448953,0.5893333333333333,0.5893333333333333,0.5893333333333333,0.09721407624633431,0.10045454545454546,0.07534090909090908
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.43083333333333,0.40731249999999936,5.430833333333325,5.430833333333333,5.43083333333333,0.0,0.0,0.0,0.9969390625000001,1.1963268750000005,0.7975512499999997,0.8903090277777777,1.0683708333333328,0.7122472222222225,2.760648148148148,1.6563888888888887,1.1042592592592588,5.430833333333324,0.40731249999999936,3.9283333333333332,3.9283333333333332,3.9283333333333332,1.2626785714285431,1.2626785714285431,1.2626785714285713,1.1784999999999917,1.1784999999999997,1.1784999999999917,0.365237603305785,0.2191425619834707,0.15305194805194824
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.3831250000000015,0.9014598214285698,5.3831250000000015,5.3831250000000015,5.3831250000000015,0.0,0.0,0.0,0.395677083333334,0.3561093749999996,0.23740625000000026,0.21201388888888886,0.3180208333333318,0.21201388888888886,0.8217592592592585,0.4930555555555579,0.3287037037037041,5.3831250000000015,0.9014598214285698,2.2793333333333288,2.2793333333333394,2.2793333333333385,1.7443877551020124,1.7443877551020326,1.7443877551020306,1.1629251700679972,1.1629251700680048,1.1629251700680023,0.27751623376623374,0.24538277511961684,0.18283422459893045
5.835374243382829,4.0616057233704295,5.835374243382829,5.835374243382829,5.835374243382829,0.0,0.0,0.0,4.687937499999999,2.812762499999998,1.8751749999999996,2.093263888888888,2.5119166666666644,1.674611111111111,4.868055555555555,5.841666666666667,3.8944444444444444,5.835374243382829,4.0616057233704295,0.37184873949578245,0.37184873949578245,0.37184873949579833,0.2654999999999914,0.2654999999999994,0.2654999999999914,0.1806122448979426,0.1806122448979426,0.18061224489795918,0.05485537190082694,0.03291322314049565,0.02298701298701306
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.0,1.1949404761904763,5.0,5.0,5.0,0.0,0.0,0.0,0.2166749999999998,0.1300049999999994,0.1300049999999997,0.14512500000000017,0.11609999999999943,0.11610000000000031,1.35,0.2699999999999996,0.17999999999999972,5.0,1.1949404761904763,1.4722222222222223,1.4722222222222223,1.4722222222222223,0.6625000000000001,0.6625000000000001,0.6625000000000001,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.13688016528925606,0.08212809917355363,0.0573593073593073
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.497844497607645,0.8574019395078588,5.497844497607641,5.497844497607644,5.497844497607643,0.0,0.0,0.0,1.034221875,0.6205331249999997,0.8273774999999999,0.9236041666666672,0.5541625000000003,0.7388833333333329,4.295833333333333,1.2887500000000003,1.718333333333333,5.497844497607641,0.8574019395078588,0.16928571428570474,0.1692857142857047,0.16928571428570627,0.35549999999999304,0.35549999999999304,0.35549999999999216,0.15799999999999992,0.15799999999999903,0.15799999999999992,0.03672520661157011,0.02203512396694213,0.015389610389610266
6.157703126028908,2.47774244833068,6.157703126028908,6.157703126028908,6.157703126028908,0.0,0.0,0.0,0.5630875,0.33785250000000033,0.22523499999999963,0.3352407407407405,0.3017166666666675,0.2011444444444422,0.7796296296296296,0.701666666666668,0.9355555555555544,6.157703126028908,2.47774244833068,2.2009637188208617,2.2009637188208617,2.2009637188208617,2.7732142857142854,2.7732142857142854,2.7732142857142854,1.3205782312925172,1.3205782312925172,1.3205782312925172,0.32680976430976183,0.37816558441558357,0.25211038961038873
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
