,0
0,47.67602126759342
1,49.32015109273976
2,44.10126003835433
3,45.85244120208313
4,46.06048377679519
5,53.611360729725334
6,46.05934456235215
7,49.316688300709465
8,55.074908811120316
9,49.927709642565866
10,48.02027601309022
11,50.04229258351601
12,47.207076972627554
13,47.43422363216655
14,46.69358204306626
15,46.39771504531124
16,49.765352130445265
17,48.39293765103186
18,48.05530339579455
19,48.393112627253046
20,51.2924886674611
21,49.94186833610025
22,49.15602276475031
23,49.70186309191626
24,45.546298198850636
25,45.17883309081943
26,53.42861794651768
27,43.78425810446173
28,44.01207895154145
29,56.97035250400959
30,49.40202698844952
31,50.86768723142398
32,48.51840154300066
33,45.550380839298796
34,47.717444288304925
35,50.01824682491932
36,47.59862947601872
37,49.72495293811566
38,52.49379714350524
39,46.3911431467441
40,49.719321790644244
41,48.387830332103974
42,43.477533381133775
43,53.90796728414419
44,48.741480448829456
45,49.23810194568547
46,48.39242046532129
47,46.05315677060844
48,49.28307752418713
49,49.042920935510224
50,45.80714205482442
51,49.313949644535946
52,46.315624110712925
53,46.14146686380337
54,44.75344973217287
55,46.807901907528034
56,45.99792798255931
57,48.55561561772906
58,44.64407789703525
59,49.38626956861746
60,44.599231251911384
61,49.360354535555565
62,49.26550347424682
63,49.60844891515739
64,52.341002992835385
65,46.36318251382094
66,42.783522143712766
67,48.81290865442865
68,44.37658614903649
69,51.18747238732097
70,49.96144654551123
71,53.96394815117154
72,50.288972642409014
73,49.924609292110745
74,49.07958639976585
75,45.7069854654159
76,47.35653354739903
77,49.47398763678443
78,46.208144614879636
79,47.971729321974586
80,45.465133078014105
81,47.1780587374413
82,49.947005920046436
83,45.916771227166436
84,49.07958195506996
85,50.94273992937909
86,47.1247766862791
87,47.332239568348555
88,48.71125099861665
89,45.911690713736114
90,52.4993934217227
91,47.417423181717766
92,55.45268516002542
93,50.762521995406686
94,48.730698985164224
95,50.2289267483397
96,51.02972426423772
97,50.19667715087459
98,45.56696228473355
99,45.339889141143
100,49.06654166286676
101,44.772545959337506
102,48.267605222051
103,49.80506178769242
104,54.874828989590576
105,47.10493312684889
106,54.362453141175806
107,46.237686802527975
108,49.73583106899312
109,49.12752729142701
110,42.41812149854876
111,47.46094924256018
112,46.61968139818092
113,46.466977022373136
114,48.706936555243594
115,47.34177121812757
116,48.42708382512505
117,49.57607739765005
118,53.02850311872438
119,50.02836229802248
120,49.31008646800183
121,51.188373212923146
122,47.39323246200755
123,47.10938995949169
124,48.6495710326111
125,48.1597809266786
126,48.47054014905271
127,50.833885126996165
128,50.711566176519014
129,50.91203742520092
130,52.728184608244796
131,45.76809910618624
132,47.82841105323142
133,45.6310146229572
134,45.357817596906386
135,50.83291305622416
136,48.24419040781386
137,45.87872471874184
138,51.09723721555169
139,66.66682300914015
140,45.95063829770456
141,46.64941471298037
142,45.41742443177343
143,52.060209341794994
144,47.244714646210426
145,51.005878725023884
146,52.02558141701163
147,45.743856504504826
148,45.915676184001356
149,51.42575732908839
150,48.8425887092665
151,48.3784298678229
152,51.39169859675501
153,50.83363060001318
154,49.851483052242784
155,48.75433539101398
156,52.137512910699414
157,52.774805244108926
158,48.77125367323943
159,52.321871271537404
160,48.98215979816591
161,48.52463369041107
162,46.50971126383448
163,48.990468837069635
164,46.32965155576986
165,49.90863449673558
166,50.521017928212345
167,52.64941007289838
168,44.5559705910695
169,47.53776754973053
170,52.89167223329131
171,46.09046249976117
172,50.93205752222709
173,44.453646485499554
174,49.596244176065845
175,48.40318303717089
176,45.942697922139565
177,45.96460634620632
178,51.514703256777175
179,50.87043417531758
180,46.78876516286247
181,49.003646073468495
182,49.55078803979353
183,48.05803254531005
184,53.468902584874236
185,47.89575770241111
186,42.806860029060665
