,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
0,10902,7381,3521,3690,2583,589,1107,7381,4221,2294,982,1027,523,223,83,59,27,891,472,212,1,2,1,2219,1238,519,3405,647.6011185125944,1026.4030297944719,786.3981905847504,898.2657581523526,1026.4069743685693,1053.9960478124908,464.3578752693457,909.8237300401717,472.06057797204863,399.35787526934433,149,4,36,32,1,[],[],[]
1,10902,7276,3626,3638,2547,539,1091,7276,4118,3536,932,540,461,117,908,788,191,296,250,71,1,2,1,2373,2035,552,2316,578.9446882345387,1026.337477485488,715.7917603066935,811.3417603067514,831.5167603067637,1055.6271171251287,448.80955309939964,446.85752607237254,445.1609044507509,443.5392828291292,146,38,23,13,1,[],[],[]
2,10902,6904,3998,3452,2416,723,1036,6904,4084,3040,629,810,559,141,689,529,99,614,473,75,4,4,1,1967,1475,313,3149,682.8145424648482,1032.3735079694156,812.6866145369987,925.3163442667479,1032.3764794018834,1049.681390852299,511.36362108892166,511.7690264943271,929.7541894712241,398.525783251081,140,27,31,24,1,[],[],[]
3,10902,7029,3873,3514,2460,580,1054,7029,3533,3112,996,755,703,214,595,501,169,419,379,138,0,0,0,1764,1529,475,3261,629.6473861323384,1029.9348605388773,761.8444582044904,858.8377014477819,888.2822960423773,1055.350851529869,897.2447652923798,443.28768097262787,442.47687016181703,398.525783251081,143,26,34,19,1,[],[],[]
4,10902,7222,3680,3514,2460,580,1054,7029,3342,2932,1033,459,393,163,456,450,128,744,649,229,3,5,1,1680,1435,512,3595,629.6473861323384,1029.9348605388773,761.8444582044904,858.8377014477819,888.2822960423773,1055.350851529869,897.2447652923798,443.28768097262787,442.47687016181703,410.74520109025894,143,26,34,19,1,[],[],[]
5,10902,7134,3768,3567,2497,618,1070,7134,3989,2604,906,545,310,102,653,455,177,790,540,173,12,9,2,1989,1290,452,3403,647.2764317298373,1033.2532555357325,781.4985038019905,887.2201254236494,1036.7505308289633,1059.783638937072,466.8710263244265,468.4926479460482,890.955958238431,440.9250803784798,144,26,20,31,1,[],[],[]
6,10902,7173,3729,3586,2511,469,1076,7173,4463,2727,1086,905,552,230,678,447,144,415,249,104,3,1,1,2462,1478,607,2626,605.2542272079276,1048.0717043795382,740.1512992800812,834.3512992801383,1056.2790019828467,1087.0898127936584,469.03801099170727,468.4926479460482,467.0109839646802,293.3623353160269,145,26,20,16,1,[],[],[]
7,10902,7844,3058,3922,2745,530,1177,7844,3935,3455,1032,488,442,132,248,213,81,644,617,171,14,7,1,2541,2176,647,2480,524.6401105651147,1034.8034163398004,672.1371826372759,775.1121826373384,794.9871826373504,1068.957920844306,364.633314354581,365.5191251653918,883.841163718546,347.12588192214804,158,11,22,29,1,[],[],[]
8,10902,7020,3882,3922,2745,530,1177,7844,3250,3943,711,501,650,118,482,597,113,574,729,110,5,3,0,1688,1964,370,2998,524.6401105651147,1034.8034163398004,672.1371826372759,775.1121826373384,794.9871826373504,1068.957920844306,364.633314354581,365.5191251653918,883.841163718546,347.12588192214804,158,11,22,29,1,[],[],[]
9,10902,6245,4657,3122,2186,446,937,6245,4571,2281,1198,504,272,141,1689,782,440,464,224,122,10,5,4,1904,998,491,2852,669.9908025213456,1030.4207546269097,787.4878745934886,879.581793512441,1030.4317935124413,1056.7225564287123,523.6394511699898,521.2070187375573,520.8016133321519,503.7745863051244,126,59,19,17,1,[],[],[]
