,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
34,10902,6496,4406,3248,2274,547,974,0,3179,3813,896,539,660,125,515,670,145,711,842,199,0,0,0,1414,1641,427,3014,471.53200245700504,1032.278221263756,735.4629548379581,936.6629548379784,1087.262954837991,,363.46564482554527,363.7960502309507,363.7960502309507,306.66331081100896,131,27,27,36,1,0,0,3
35,10902,7201,3701,3248,2274,547,974,0,3695,2778,673,738,584,131,657,510,118,502,349,95,5,10,2,1793,1325,327,3756,471.53200245700504,1032.278221263756,735.4629548379581,936.6629548379784,1087.262954837991,,370.5259213759215,370.5259213759215,370.5259213759215,368.018488943489,131,26,30,19,1,0,0,3
36,10902,7721,3181,3860,2702,625,1158,0,3808,3426,876,850,779,216,647,551,126,0,0,0,8,4,0,2303,2092,534,2792,465.04551597051835,1114.472566549763,778.5764683514709,1071.7764683515152,1177.1764683515294,,338.34224311002373,338.26724311002374,370.5259213759215,297.39629716407654,157,27,37,19,1,0,0,3
37,10902,7059,3843,3530,2471,536,1059,0,4764,3690,874,776,601,139,447,355,69,765,538,141,3,6,3,2773,2190,522,1574,451.24275327026805,1039.2822912644394,740.1737056512204,961.173705651247,1093.7737056512594,,393.9060210835348,394.31142648894024,394.0560210835348,393.170210272724,143,18,31,29,1,0,0,5
38,10902,7245,3657,3622,2536,431,1087,0,3093,3160,1268,720,767,318,298,314,115,483,441,173,11,11,6,1581,1627,656,3381,482.0725429975459,1125.0794789292675,776.4034953784986,1051.4034953785379,1168.4034953785476,,335.01794215683674,335.01794215683674,334.6875367514313,334.2071313460259,146,15,37,22,1,0,0,11
39,10902,7335,3567,3622,2536,431,1087,0,3887,3923,478,710,694,84,334,356,44,621,636,84,1,3,0,2221,2234,266,2614,482.0725429975459,1125.0794789292675,776.4034953784986,1051.4034953785379,1168.4034953785476,,369.23470515970524,369.3847051597052,368.9042997542998,348.9614847764466,146,15,30,27,1,0,0,11
40,10902,6633,4269,3316,2322,437,995,0,3700,4224,1041,485,569,133,661,740,163,509,523,147,134,165,40,1911,2227,558,1937,445.3498298040554,1028.8270968537918,715.280782185008,919.2807821850253,1072.8807821850353,,377.65296248218675,377.65296248218675,377.65296248218675,376.4367462659705,134,32,24,24,7,0,0,8
41,10902,6833,4069,3416,2392,785,1025,0,3953,3401,504,726,616,99,470,406,66,865,719,99,1,2,0,1891,1658,240,3044,472.34281326781587,1027.3109964230248,750.2737656487685,970.2737656487976,1072.8807821850353,,352.9394980036405,353.0340925982351,352.5340925982351,279.1557142198545,138,19,29,34,1,0,0,5
42,10902,7402,3500,3416,2392,785,1025,0,4031,2534,668,807,559,124,214,134,44,875,563,153,15,9,3,2120,1269,344,3669,472.34281326781587,1027.3109964230248,750.2737656487685,970.2737656487976,1072.8807821850353,,352.9394980036405,353.0340925982351,352.5340925982351,436.2308502322113,138,19,29,34,1,0,0,5
43,10902,7405,3497,3702,2592,521,1111,0,5072,2649,969,737,345,127,296,165,43,1027,530,206,14,4,3,2998,1605,590,2212,448.0934889434908,1072.2280606281388,749.0244413244432,1025.024441324477,1125.0244413244889,,325.7530746619684,326.48888547277926,326.41388547277927,301.7591557430488,150,11,25,36,1,0,0,6
44,10902,6549,4353,3274,2292,529,982,0,3820,3105,1013,710,603,201,680,475,179,735,591,179,0,0,0,1695,1436,454,2964,479.1942280173278,1043.409037878626,745.5251803982804,953.1251803983049,1096.925180398317,,385.4104442335418,385.0050388281364,385.4104442335418,301.7591557430488,132,27,31,31,1,0,0,4
45,10902,8098,2804,4049,2834,451,1215,0,3785,4229,1095,594,697,163,224,203,68,350,400,99,3,2,1,2614,2927,764,1793,435.93132678132827,1116.595429947927,764.0622791622814,1063.0622791623223,1162.0622791623325,,336.10324829781877,336.9890591086296,335.4424374870079,322.79986991943997,163,10,30,17,1,0,0,11
46,10902,7626,3276,3813,2669,658,1144,0,3891,3350,805,861,765,173,482,432,104,223,185,40,4,5,2,2321,1963,486,2856,466.74213759214,1104.1382022880548,776.4730899730926,1065.2730899731348,1170.0730899731498,,325.88063021290816,326.2110356183136,325.92186346657314,310.06981940209687,154,21,36,9,1,0,0,2
47,10902,6981,3921,3490,2443,731,1047,0,3879,2499,696,520,361,80,1111,746,203,498,297,96,6,3,0,1744,1092,317,3828,495.04551597051926,1083.7525590407686,778.5764683514723,1042.976468351509,1156.9764683515257,,356.7891523908603,356.45874698545487,356.3837469854549,329.6269902286973,140,42,20,18,1,0,0,2
48,10902,7469,3433,3734,2614,483,1120,0,5144,3666,1011,765,564,165,0,0,0,981,737,201,5,8,7,3393,2357,638,1081,398.4238943488953,1043.5103848367849,705.5548467298482,934.5548467298685,1091.7548467298795,,356.7891523908603,354.8245310052188,354.89953100521876,334.22385532954246,151,42,30,39,1,0,0,9
49,10902,7341,3561,3670,2569,658,1101,0,4185,3385,803,672,526,146,531,462,103,560,451,110,0,0,0,2422,1946,444,2529,457.3428132678154,1068.6411870702332,755.4737656487681,1028.8737656488024,1134.4737656488173,,353.94775318132145,353.692347775916,353.617347775916,334.22385532954246,149,22,27,23,1,0,0,1
